person_id,name,full_name,party,caucus_short_name,province,constituency,presence_rate,present,paired,absent,total_votes,tenure_months,years_in_house,elections_won,interventions_count,committee_interventions_count,bills_sponsored_current,committees_count,associations_count,position_leadership_score,position_leadership_rank,position_leadership_percentile,position_leadership_score_percentile_in_party,activity_index_score,activity_index_rank,activity_index_percentile,activity_index_score_percentile,activity_index_score_percentile_in_party,activity_index_score_rank,associations_count_percentile,associations_count_percentile_in_party,associations_count_rank,bills_sponsored_current_percentile,bills_sponsored_current_percentile_in_party,bills_sponsored_current_rank,chamber,committee_interventions_count_percentile,committee_interventions_count_percentile_in_party,committee_interventions_count_rank,committee_per_month,committees_count_percentile,committees_count_percentile_in_party,committees_count_rank,computed_at,interventions_count_percentile,interventions_count_percentile_in_party,interventions_count_rank,interventions_per_month,metrics_version,parliament,political_alignment_score,presence_rate_percentile,presence_rate_percentile_in_party,presence_rate_rank,session,tenure_months_percentile,tenure_months_percentile_in_party,tenure_months_rank
88418,Yves Perron,Yves Perron,Bloc Québécois,Bloc Québécois,Quebec,Berthier—Maskinongé,100.0,,,,,75,,,125,248,,2,17,33.79,,,,8.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88601,Linda Lapointe,Linda Lapointe,Liberal,Liberal,Quebec,Rivière-des-Mille-Îles,100.0,,,,,56,,,58,162,1,2,12,10.67,,,,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105918,Patrick Weiler,Patrick Weiler,Liberal,Liberal,British Columbia,West Vancouver—Sunshine Coast—Sea to Sky Country,100.0,,,,,75,,,34,524,1,3,16,17.40,,,,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88827,Peter Fragiskatos,Peter Fragiskatos,Liberal,Liberal,Ontario,London Centre,100.0,,,,,123,,,39,100,1,2,7,21.33,,,,8.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89198,Shannon Stubbs,Shannon Stubbs,Conservative,Conservative,Alberta,Lakeland,72.9,,,,,123,,,69,61,2,2,7,11.44,,,,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122606,Jacques Ramsay,Jacques Ramsay,Liberal,Liberal,Quebec,La Prairie—Atateken,100.0,,,,,8,,,104,90,,2,14,22.89,,,,8.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105480,Ryan Turnbull,Ryan Turnbull,Liberal,Liberal,Ontario,Whitby,100.0,,,,,75,,,145,132,,1,8,26.00,,,,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123214,Karim Bardeesy,Karim Bardeesy,Liberal,Liberal,Ontario,Taiaiako'n—Parkdale—High Park,100.0,,,,,8,,,87,110,,2,5,21.33,,,,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88316,Sean Fraser,Sean Fraser,Liberal,Liberal,Nova Scotia,Central Nova,100.0,,,,,123,,,103,61,3,,12,77.67,,,,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71323,John Williamson,John Williamson,Conservative,Conservative,New Brunswick,Saint John—St. Croix,89.8,,,,,128,,,19,247,4,3,14,17.03,,,,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110649,Adam Chambers,Adam Chambers,Conservative,Conservative,Ontario,Simcoe North,100.0,,,,,52,,,49,119,1,2,14,10.67,,,,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89020,Ahmed Hussen,Ahmed Hussen,Liberal,Liberal,Ontario,York South—Weston—Etobicoke,100.0,,,,,123,,,14,286,3,3,15,17.40,,,,7.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105121,Yvan Baker,Yvan Baker,Liberal,Liberal,Ontario,Etobicoke Centre,100.0,,,,,75,,,13,315,2,4,10,16.97,,,,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,Hedy Fry,Hedy Fry,Liberal,Liberal,British Columbia,Vancouver Centre,96.6,,,,,343,,,13,410,15,3,11,17.40,,,,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88950,Salma Zahid,Salma Zahid,Liberal,Liberal,Ontario,Scarborough Centre—Don Valley East,100.0,,,,,123,,,23,584,1,4,15,16.00,,,,7.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89294,Mel Arnold,Mel Arnold,Conservative,Conservative,British Columbia,Kamloops—Shuswap—Central Rockies,100.0,,,,,123,,,45,202,1,2,16,10.67,,,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104630,Sébastien Lemire,Sébastien Lemire,Bloc Québécois,Bloc Québécois,Quebec,Abitibi—Témiscamingue,100.0,,,,,75,,,110,368,,3,17,11.60,,,,7.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119705,Leslie Church,Leslie Church,Liberal,Liberal,Ontario,Toronto—St. Paul's,100.0,,,,,8,,,89,69,,2,9,21.33,,,,7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88558,Anthony Housefather,Anthony Housefather,Liberal,Liberal,Quebec,Mount Royal,100.0,,,,,123,,,24,136,1,1,13,26.00,,,,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88715,Karina Gould,Karina Gould,Liberal,Liberal,Ontario,Burlington,98.3,,,,,123,,,11,355,3,3,14,14.88,,,,7.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92209,Marie-France Lalonde,Marie-France Lalonde,Liberal,Liberal,Ontario,Orléans,100.0,,,,,75,,,19,351,1,3,17,17.40,,,,7.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110446,Lisa Hepfner,Lisa Hepfner,Liberal,Liberal,Ontario,Hamilton Mountain,100.0,,,,,52,,,18,393,1,3,17,17.40,,,,7.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88660,Marc Miller,Marc Miller,Liberal,Liberal,Quebec,Ville-Marie—Le Sud-Ouest—Île-des-Soeurs,100.0,,,,,123,,,8,367,3,3,9,16.97,,,,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122709,Patrick Bonin,Patrick Bonin,Bloc Québécois,Bloc Québécois,Quebec,Repentigny,98.3,,,,,8,,,174,378,,2,17,10.67,,,,7.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110502,Arielle Kayabaga,Arielle Kayabaga,Liberal,Liberal,Ontario,London West,100.0,,,,,52,,,165,62,,3,17,25.39,,,,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84665,Chrystia Freeland,Chrystia Freeland,Liberal,Liberal,Ontario,University—Rosedale,98.3,,,,,145,,,151,53,20,,3,60.00,,,,7.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,Dominic LeBlanc,Dominic LeBlanc,Liberal,Liberal,New Brunswick,Beauséjour,98.3,,,,,301,,,68,62,1,,18,70.00,,,,7.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88541,Luc Berthold,Luc Berthold,Conservative,Conservative,Quebec,Mégantic—L'Érable—Lotbinière,100.0,,,,,123,,,104,8,1,1,13,35.42,,,,7.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
